country;year;dcapb_3yr;3y change
213;1990;-0.356408;-1.069224
213;1991;1.086697;3.260091
213;2002;1.577461;4.732383
213;2003;1.717998;5.153994
213;2004;2.542975;7.628925
213;2005;0.8450364;2.5351092
213;2006;-0.074302;-0.222906
213;2007;-1.307431;-3.922293
213;2008;-0.8732305;-2.6196915
213;2009;-1.315168;-3.945504
218;1990;0.418704;1.256112
218;1991;0.1280769;0.3842307
218;1992;0.0404025;0.1212075
218;1993;-0.6242695;-1.8728085
218;1994;0.3624319;1.0872957
218;1995;0.812629;2.437887
218;1996;1.279834;3.839502
218;1997;-0.3886485;-1.1659455
218;1998;-1.651642;-4.954926
218;1999;-0.884774;-2.654322
218;2000;0.051576;0.154728
218;2001;0.0774486;0.2323458
218;2002;-1.115065;-3.345195
218;2003;-0.8463741;-2.5391223
218;2004;0.7188864;2.1566592
218;2005;1.909839;5.729517
218;2006;3.460416;10.381248
223;2001;1.404851;4.214553
223;2002;0.0465372;0.1396116
223;2003;0.379524;1.138572
223;2004;0.1174738;0.3524214
223;2005;0.2105486;0.6316458
223;2006;-0.2469807;-0.7409421
223;2007;-0.3421412;-1.0264236
223;2008;-0.3401895;-1.0205685
223;2009;-0.2668969;-0.8006907
223;2010;-0.3493716;-1.0481148
238;1990;0.3254623;0.9763869
238;1991;-0.1120042;-0.3360126
238;1992;0.8330565;2.4991695
238;1993;0.3208504;0.9625512
243;1990;0.9488879;2.8466637
243;1991;1.115548;3.346644
268;1990;1.062783;3.188349
268;1991;2.781519;8.344557
268;1992;1.64731;4.94193
268;1993;1.876232;5.628696
268;1994;-1.0253;-3.0759
268;1995;-1.27448;-3.82344
268;1996;-1.690968;-5.072904
268;1997;-0.7812896;-2.3438688
268;1998;0.3302473;0.9907419
268;1999;0.3347778;1.0043334
268;2000;0.3849346;1.1548038
268;2001;-2.447053;-7.341159
268;2002;-1.831391;-5.494173
268;2003;-2.227527;-6.682581
268;2004;1.143128;3.429384
268;2005;1.498309;4.494927
273;1990;-0.3629532;-1.0888596
278;1992;7.018092;21.054276
278;1993;4.757561;14.272683
278;1994;0.4058507;1.2175521
278;1995;0.8252088;2.4756264
278;1996;0.049494;0.148482
278;1997;1.28242;3.84726
278;1998;0.1088891;0.3266673
278;1999;-0.6019492;-1.8058476
278;2000;-2.391068;-7.173204
278;2001;-1.915961;-5.747883
278;2002;-0.762362;-2.287086
278;2003;0.4739399;1.4218197
278;2006;1.291203;3.873609
278;2007;0.6340847;1.9022541
278;2008;-0.2353953;-0.7061859
278;2009;-0.5700379;-1.7101137
278;2010;-0.4064951;-1.2194853
283;1990;1.521184;4.563552
283;1991;1.388518;4.165554
283;1992;-0.0213721;-0.0641163
283;1993;-4.775137;-14.325411
283;1994;4.199841;12.599523
283;1995;3.353927;10.061781
283;1996;3.830389;11.491167
283;1997;-3.777462;-11.332386
283;1998;-2.923358;-8.770074
283;1999;-0.9589277;-2.8767831
283;2000;-0.0694406;-0.2083218
283;2001;0.7802717;2.3408151
283;2002;0.649635;1.948905
283;2003;-0.1630967;-0.4892901
283;2004;-0.2184912;-0.6554736
283;2005;0.6260406;1.8781218
283;2006;1.598289;4.794867
298;1990;1.265231;3.795693
298;2002;1.383651;4.150953
298;2003;2.196473;6.589419
298;2004;1.924996;5.774988
298;2005;1.310109;3.930327
298;2006;-0.0317882;-0.0953646
298;2007;-0.7055316;-2.1165948
298;2008;-1.84256;-5.52768
298;2009;-1.291171;-3.873513
298;2010;-0.8583346;-2.5750038
299;1990;2.630314;7.890942
299;1991;2.452083;7.356249
299;1992;-2.230637;-6.691911
299;1993;-2.461112;-7.383336
299;1994;-2.900169;-8.700507
299;1995;0.3808746;1.1426238
299;1996;3.457424;10.372272
436;1990;1.256326;3.768978
436;1991;1.050404;3.151212
436;1992;0.6157224;1.8471672
436;1993;0.1815931;0.5447793
436;1994;-2.429648;-7.288944
436;1995;-0.779058;-2.337174
436;1996;-1.670405;-5.011215
436;1997;-0.5133669;-1.5401007
436;1998;0.1148949;0.3446847
436;1999;1.561214;4.683642
436;2000;2.358218;7.074654
436;2001;1.359184;4.077552
436;2002;0.0353478;0.1060434
436;2003;-0.5871722;-1.7615166
436;2004;0.461134;1.383402
436;2005;1.28228;3.84684
436;2006;1.204587;3.613761
436;2007;0.1829232;0.5487696
436;2008;-1.707963;-5.123889
436;2009;-2.367205;-7.101615
436;2010;-1.948282;-5.844846
534;1994;0.4953389;1.4860167
534;1995;0.438942;1.316826
534;1996;0.4781644;1.4344932
534;1997;-0.2425946;-0.7277838
534;1998;-0.5859684;-1.7579052
534;1999;-0.4568565;-1.3705695
534;2000;-0.3681811;-1.1045433
534;2001;-0.1230275;-0.3690825
534;2002;0.5882101;1.7646303
534;2003;1.64572;4.93716
534;2004;1.740347;5.221041
534;2005;0.8759246;2.6277738
534;2006;0.2728895;0.8186685
534;2007;0.5536559;1.6609677
534;2008;-0.4286045;-1.2858135
534;2009;-1.509543;-4.528629
534;2010;-1.991597;-5.974791
536;1999;0.354471;1.063413
536;2000;0.5742558;1.7227674
536;2001;0.9069712;2.7209136
536;2002;0.5538733;1.6616199
536;2003;0.1899739;0.5699217
536;2004;-0.3735038;-1.1205114
564;1990;2.520805;7.562415
564;1991;1.557884;4.673652
564;1992;0.1776685;0.5330055
564;1993;-0.4939235;-1.4817705
564;1994;0.1473162;0.4419486
564;1995;0.1377815;0.4133445
564;1996;0.1795043;0.5385129
564;1997;-0.0296749;-0.0890247
564;1998;0.7332273;2.1996819
564;1999;1.351214;4.053642
564;2000;1.025658;3.076974
564;2001;0.8090082;2.4270246
564;2002;0.1801662;0.5404986
564;2003;1.117198;3.351594
564;2004;-0.0939673;-0.2819019
564;2005;-0.7414523;-2.2243569
564;2006;-1.933186;-5.799558
566;1990;-0.9524684;-2.8574052
566;1994;0.3663186;1.0989558
566;2003;0.3711498;1.1134494
566;2004;0.2576932;0.7730796
566;2005;1.006395;3.019185
652;1995;0.2261047;0.6783141
652;1996;0.0824981;0.2474943
652;1997;-0.0939542;-0.2818626
652;1998;0.4603335;1.3810005
652;1999;0.4387474;1.3162422
652;2000;1.500332;4.500996
652;2001;1.18422;3.55266
652;2002;1.477747;4.433241
652;2003;1.068136;3.204408
652;2004;0.3879068;1.1637204
652;2005;0.4986842;1.4960526
918;1996;1.185134;3.555402
918;1997;-0.3688959;-1.1066877
918;1998;2.631699;7.895097
918;1999;2.062337;6.187011
918;2000;2.376965;7.130895
918;2001;0.0365283;0.1095849
918;2002;-1.338521;-4.015563
922;1999;3.83958;11.51874
922;2000;3.507755;10.523265
922;2001;1.726659;5.179977
944;1991;-4.599541;-13.798623
944;1992;-4.494489;-13.483467
944;1993;-3.907177;-11.721531
944;1994;-1.644519;-4.933557
944;1995;0.1523755;0.4571265
944;1996;2.420764;7.262292
944;1997;1.488575;4.465725
944;1998;1.271674;3.815022
944;1999;0.5674684;1.7024052
944;2006;-1.385927;-4.157781
944;2007;-0.3483182;-1.0449546
944;2008;0.6854892;2.0564676
944;2009;2.655207;7.965621
944;2010;1.226894;3.680682
964;1992;-3.806868;-11.420604
964;1993;-1.319913;-3.959739
964;1994;2.25703;6.77109
