Debt Maturity Type;Bond Type;Debt Currency Type;Debt Series;Concat;Year;Debt Issuance;Interest Payment Type;Grace Period;Maturity;Rate;
Short-term;Domestic Debt;local;SPN;Short-termDomestic DebtlocalSPN;2024;15040.1;Semi-annual;1;1;1;
Short-term;Domestic Debt;local;SPN;Short-termDomestic DebtlocalSPN;2025;14155.4;Semi-annual;1;1;2;
Short-term;Domestic Debt;local;SPN;Short-termDomestic DebtlocalSPN;2026;13270.7;Semi-annual;1;1;2;
Short-term;Foreign Debt;local;SPN;Short-termForeign DebtlocalSPN;2021;4423.6;Semi-annual;1;1;1;
Short-term;Foreign Debt;local;SPN;Short-termForeign DebtlocalSPN;2022;4202.4;Semi-annual;1;1;1;
Short-term;Foreign Debt;local;SPN;Short-termForeign DebtlocalSPN;2023;3981.2;Semi-annual;1;1;1;
Short-term;Foreign Debt;local;SPN;Short-termForeign DebtlocalSPN;2024;3760.0;Semi-annual;1;1;1;
Short-term;Foreign Debt;local;SPN;Short-termForeign DebtlocalSPN;2025;3538.8;Semi-annual;1;1;2;
Short-term;Foreign Debt;local;SPN;Short-termForeign DebtlocalSPN;2026;3317.7;Semi-annual;1;1;2;
Long-term;Domestic Debt;local;zero-coupon-bond;Long-termDomestic Debtlocalzero-coupon-bond;2021;0;Annual;3;3;0;
Long-term;Domestic Debt;local;zero-coupon-bond;Long-termDomestic Debtlocalzero-coupon-bond;2022;0;Annual;3;3;0;
Long-term;Domestic Debt;local;zero-coupon-bond;Long-termDomestic Debtlocalzero-coupon-bond;2023;0;Annual;3;3;0;
Long-term;Domestic Debt;local;zero-coupon-bond;Long-termDomestic Debtlocalzero-coupon-bond;2024;0;Annual;3;3;0;
Long-term;Domestic Debt;local;zero-coupon-bond;Long-termDomestic Debtlocalzero-coupon-bond;2025;0;Annual;3;3;0;
Long-term;Domestic Debt;local;zero-coupon-bond;Long-termDomestic Debtlocalzero-coupon-bond;2026;0;Annual;3;3;0;
Long-term;Foreign Debt;local;zero-coupon-bond;Long-termForeign Debtlocalzero-coupon-bond;2021;0;Annual;3;3;0;
Long-term;Foreign Debt;local;zero-coupon-bond;Long-termForeign Debtlocalzero-coupon-bond;2022;0;Annual;3;3;0;
Long-term;Foreign Debt;local;zero-coupon-bond;Long-termForeign Debtlocalzero-coupon-bond;2023;0;Annual;3;3;0;
Long-term;Foreign Debt;local;zero-coupon-bond;Long-termForeign Debtlocalzero-coupon-bond;2024;0;Annual;3;3;0;
Long-term;Foreign Debt;local;zero-coupon-bond;Long-termForeign Debtlocalzero-coupon-bond;2025;0;Annual;3;3;0;
Long-term;Foreign Debt;local;zero-coupon-bond;Long-termForeign Debtlocalzero-coupon-bond;2026;0;Annual;3;3;0;
